image,label
28.105569_0.jpg,28.105569
28.105569_1.jpg,28.105569
28.106527_2.jpg,28.106527
28.130404_3.jpg,28.130404
28.109243_4.jpg,28.109243
28.088572_5.jpg,28.088572
28.034211_6.jpg,28.034211
28.018491_7.jpg,28.018491
27.986624_8.jpg,27.986624
28.016352_9.jpg,28.016352
27.981986_10.jpg,27.981986
27.978625_11.jpg,27.978625
28.032331_12.jpg,28.032331
27.960219_13.jpg,27.960219
27.937178_14.jpg,27.937178
27.940599_15.jpg,27.940599
27.908579_16.jpg,27.908579
27.898606_17.jpg,27.898606
27.855982_18.jpg,27.855982
27.795581_19.jpg,27.795581
27.850634_20.jpg,27.850634
27.839349_21.jpg,27.839349
27.824348_22.jpg,27.824348
27.759608_23.jpg,27.759608
27.830055_24.jpg,27.830055
27.761886_25.jpg,27.761886
27.694763_26.jpg,27.694763
27.761203_27.jpg,27.761203
27.691932_28.jpg,27.691932
27.666086_29.jpg,27.666086
27.723912_30.jpg,27.723912
27.639469_31.jpg,27.639469
27.612874_32.jpg,27.612874
27.638534_33.jpg,27.638534
27.606098_34.jpg,27.606098
27.593209_35.jpg,27.593209
27.573926_36.jpg,27.573926
27.561151_37.jpg,27.561151
27.559232_38.jpg,27.559232
27.528067_39.jpg,27.528067
27.522542_40.jpg,27.522542
27.531058_41.jpg,27.531058
27.493015_42.jpg,27.493015
27.487706_43.jpg,27.487706
27.440943_44.jpg,27.440943
27.439646_45.jpg,27.439646
27.412907_46.jpg,27.412907
27.401744_47.jpg,27.401744
27.396007_48.jpg,27.396007
27.357510_49.jpg,27.35751
27.365647_50.jpg,27.365647
27.347638_51.jpg,27.347638
27.302128_52.jpg,27.302128
27.309836_53.jpg,27.309836
27.266277_54.jpg,27.266277
27.266066_55.jpg,27.266066
27.238097_56.jpg,27.238097
27.239031_57.jpg,27.239031
27.227439_58.jpg,27.227439
27.209839_59.jpg,27.209839
27.224821_60.jpg,27.224821
27.181666_61.jpg,27.181666
27.170096_62.jpg,27.170096
27.154590_63.jpg,27.15459
27.104113_64.jpg,27.104113
27.081358_65.jpg,27.081358
27.071874_66.jpg,27.071874
27.073267_67.jpg,27.073267
27.039336_68.jpg,27.039336
27.041493_69.jpg,27.041493
27.018145_70.jpg,27.018145
27.009551_71.jpg,27.009551
26.996247_72.jpg,26.996247
26.954839_73.jpg,26.954839
26.968576_74.jpg,26.968576
26.913075_75.jpg,26.913075
26.903469_76.jpg,26.903469
26.908829_77.jpg,26.908829
26.860309_78.jpg,26.860309
26.869310_79.jpg,26.86931
26.870268_80.jpg,26.870268
